GeoID,Name,Component
0020R,Agua Caliente Indian Reservation,R
0020T,Agua Caliente Indian Reservation,T
0095R,Alturas Indian Rancheria,R
0120R,Auburn Rancheria,R
0120T,Auburn Rancheria,T
0125R,Augustine Reservation,R
0155R,Barona Reservation,R
0155T,Barona Reservation,T
0185R,Benton Paiute Reservation,R
0185T,Benton Paiute Reservation,T
0200R,Berry Creek Rancheria,R
0200T,Berry Creek Rancheria,T
0215R,Big Bend Rancheria,R
0240R,Big Lagoon Rancheria,R
0250R,Big Pine Reservation,R
0250T,Big Pine Reservation,T
0265R,Big Sandy Rancheria,R
0265T,Big Sandy Rancheria,T
0275R,Big Valley Rancheria,R
0290R,Bishop Reservation,R
0325R,Blue Lake Rancheria,R
0325T,Blue Lake Rancheria,T
0350R,Bridgeport Reservation,R
0350T,Bridgeport Reservation,T
0415R,Cabazon Reservation,R
0435R,Cahuilla Reservation,R
0450R,Campo Indian Reservation,R
0495R,Capitan Grande Reservation,R
0555R,Cedarville Rancheria,R
0555T,Cedarville Rancheria,T
0585R,Chemehuevi Reservation,R
0620R,Chicken Ranch Rancheria,R
0620T,Chicken Ranch Rancheria,T
0720R,Cold Springs Rancheria,R
0735R,Colorado River Indian Reservation,R
0750R,Colusa Rancheria,R
0780R,Cortina Indian Rancheria,R
0825R,Coyote Valley Reservation,R
0955R,Dry Creek Rancheria,R
0955T,Dry Creek Rancheria,T
1010R,Elk Valley Rancheria,R
1010T,Elk Valley Rancheria,T
1055R,Enterprise Rancheria,R
1055T,Enterprise Rancheria,T
1065R,Ewiiaapaayp Reservation,R
1170R,Fort Bidwell Reservation,R
1170T,Fort Bidwell Reservation,T
1195R,Fort Independence Reservation,R
1235R,Fort Mojave Reservation,R
1235T,Fort Mojave Reservation,T
1280R,Fort Yuma Indian Reservation,R
1380R,Greenville Rancheria,R
1395R,Grindstone Indian Rancheria,R
1400R,Guidiville Rancheria,R
1400T,Guidiville Rancheria,T
1490R,Hoopa Valley Reservation,R
1515R,Hopland Rancheria,R
1560R,Inaja and Cosmit Reservation,R
1640R,Jackson Rancheria,R
1670R,Jamul Indian Village,R
1750R,Karuk Reservation,R
1750T,Karuk Reservation,T
1850R,La Jolla Reservation,R
1895R,La Posta Indian Reservation,R
1925R,Laytonville Rancheria,R
1955R,Likely Rancheria,R
1970R,Lone Pine Reservation,R
1980R,Lookout Rancheria,R
1995R,Los Coyotes Reservation,R
2075R,Lytton Rancheria,R
2100R,Manchester-Point Arena Rancheria,R
2115R,Manzanita Reservation,R
2115T,Manzanita Reservation,T
2190R,Mesa Grande Reservation,R
2255R,Middletown Rancheria,R
2330R,Montgomery Creek Rancheria,R
2340R,Mooretown Rancheria,R
2340T,Mooretown Rancheria,T
2360R,Morongo Reservation,R
2360T,Morongo Reservation,T
2495R,North Fork Rancheria,R
2495T,North Fork Rancheria,T
2635R,Pala Reservation,R
2685R,Paskenta Rancheria,R
2715R,Pauma and Yuima Reservation,R
2745R,Pechanga Reservation,R
2775R,Picayune Rancheria,R
2775T,Picayune Rancheria,T
2820R,Pinoleville Rancheria,R
2835T,Pit River Trust Land,T
3020R,Quartz Valley Reservation,R
3020T,Quartz Valley Reservation,T
3070R,Ramona Village,R
3095R,Redding Rancheria,R
3115R,Redwood Valley Rancheria,R
3145R,Resighini Rancheria,R
3165R,Rincon Reservation,R
3165T,Rincon Reservation,T
3185R,Roaring Creek Rancheria,R
3195R,Robinson Rancheria,R
3195T,Robinson Rancheria,T
3220T,Rohnerville (Rancheria) Trust Land,T
3250R,Round Valley Reservation,R
3250T,Round Valley Reservation,T
3265R,Rumsey Indian Rancheria,R
3445R,San Manuel Reservation,R
3445T,San Manuel Reservation,T
3460R,San Pasqual Reservation,R
3460T,San Pasqual Reservation,T
3520R,Santa Rosa Rancheria,R
3525R,Santa Rosa Reservation,R
3540R,Santa Ynez Reservation,R
3550R,Santa Ysabel Reservation,R
3735R,Sherwood Valley Rancheria,R
3735T,Sherwood Valley Rancheria,T
3750R,Shingle Springs Rancheria,R
3750T,Shingle Springs Rancheria,T
3855R,Smith River Rancheria,R
3855T,Smith River Rancheria,T
3870R,Soboba Reservation,R
3870T,Soboba Reservation,T
3985R,Stewarts Point Rancheria,R
3985T,Stewarts Point Rancheria,T
4030R,Sulphur Bank Rancheria,R
4060R,Susanville Indian Rancheria,R
4060T,Susanville Indian Rancheria,T
4090R,Sycuan Reservation,R
4090T,Sycuan Reservation,T
4095R,Table Bluff Reservation,R
4110R,Table Mountain Rancheria,R
4110T,Table Mountain Rancheria,T
4180R,Timbi-Sha Shoshone Reservation,R
4180T,Timbi-Sha Shoshone Reservation,T
4255R,Torres-Martinez Reservation,R
4275R,Trinidad Rancheria,R
4275T,Trinidad Rancheria,T
4300R,Tule River Reservation,R
4300T,Tule River Reservation,T
4330R,Tuolumne Rancheria,R
4375R,Twenty-Nine Palms Reservation,R
4375T,Twenty-Nine Palms Reservation,T
4430R,Upper Lake Rancheria,R
4500R,Viejas Reservation,R
4500T,Viejas Reservation,T
4560T,Washoe Ranches Trust Land,T
4665R,Woodfords Community,R
4680R,XL Ranch Rancheria,R
4760R,Yurok Reservation,R